url,subject,category
https://tutorful.co.uk/search/ucat-and-bmat,UCAT and BMAT,
https://tutorful.co.uk/search/university-advice,University Advice,
https://tutorful.co.uk/search/university-maths,university Maths,
https://tutorful.co.uk/search/verbal-reasoning,Verbal reasoning,
https://tutorful.co.uk/search/volleyball,Volleyball,
https://tutorful.co.uk/search/weight-lifting,Weight Lifting,
https://tutorful.co.uk/search/wellington-college-school-admissions,Wellington College school admissions,
https://tutorful.co.uk/search/westminster-admission,Westminster admission,
https://tutorful.co.uk/search/westminster-school-admissions,Westminster School admissions,
https://tutorful.co.uk/search/winchester-admission,Winchester admission,
https://tutorful.co.uk/search/winchester-college-school-admissions,Winchester College school admissions,
https://tutorful.co.uk/search/writers,Writers,
https://tutorful.co.uk/search/wycombe-abbey-admissions,Wycombe Abbey admissions,
https://tutorful.co.uk/search/wycombe-abbey-school-admissions,Wycombe Abbey school admissions,
https://tutorful.co.uk/search/yoga,Yoga,
